"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2001","Slovakia","Total","Percentage of total population","Total","12.4",""
"2001","Slovakia","Total","Percentage of active population","Total","19.5",""
"2001","Finland","Total","Thousand persons","Total","238",""
"2001","Finland","Total","Percentage of total population","Total","6.1",""
"2001","Finland","Total","Percentage of active population","Total","9.1",""
"2001","Sweden","Total","Thousand persons","Total","270","b"
"2001","Sweden","Total","Percentage of total population","Total","4.2","b"
"2001","Sweden","Total","Percentage of active population","Total","5.8","b"
"2001","United Kingdom","Total","Thousand persons","Total","1,451",""
"2001","United Kingdom","Total","Percentage of total population","Total","3.4",""
"2001","United Kingdom","Total","Percentage of active population","Total","5.0",""
"2001","Iceland","Total","Thousand persons","Total",":",""
"2001","Iceland","Total","Percentage of total population","Total",":",""
"2001","Iceland","Total","Percentage of active population","Total",":",""
"2001","Norway","Total","Thousand persons","Total","81",""
"2001","Norway","Total","Percentage of total population","Total","2.6",""
"2001","Norway","Total","Percentage of active population","Total","3.4",""
"2001","Turkey","Total","Thousand persons","Total",":",""
"2001","Turkey","Total","Percentage of total population","Total",":",""
"2001","Turkey","Total","Percentage of active population","Total",":",""
"2002","Belgium","Total","Thousand persons","Total","331",""
"2002","Belgium","Total","Percentage of total population","Total","4.3",""
"2002","Belgium","Total","Percentage of active population","Total","7.5",""
"2002","Bulgaria","Total","Thousand persons","Total","614",""
"2002","Bulgaria","Total","Percentage of total population","Total","9.9",""
"2002","Bulgaria","Total","Percentage of active population","Total","18.2",""
"2002","Czech Republic","Total","Thousand persons","Total","374",""
"2002","Czech Republic","Total","Percentage of total population","Total","4.7",""
"2002","Czech Republic","Total","Percentage of active population","Total","7.3",""
"2002","Denmark","Total","Thousand persons","Total","131",""
"2002","Denmark","Total","Percentage of total population","Total","3.3",""
"2002","Denmark","Total","Percentage of active population","Total","4.6",""
"2002","Germany (until 1990 former territory of the FRG)","Total","Thousand persons","Total","3,376",""
"2002","Germany (until 1990 former territory of the FRG)","Total","Percentage of total population","Total",":",""
"2002","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","8.6",""
"2002","Estonia","Total","Thousand persons","Total","75",""
"2002","Estonia","Total","Percentage of total population","Total","7.0",""
"2002","Estonia","Total","Percentage of active population","Total","11.2",""
"2002","Ireland","Total","Thousand persons","Total","83",""
"2002","Ireland","Total","Percentage of total population","Total","2.8",""
"2002","Ireland","Total","Percentage of active population","Total","4.5",""
"2002","Greece","Total","Thousand persons","Total","480",""
"2002","Greece","Total","Percentage of total population","Total","5.8",""
"2002","Greece","Total","Percentage of active population","Total","10.3",""
"2002","Spain","Total","Thousand persons","Total","2,171",""
"2002","Spain","Total","Percentage of total population","Total","6.7",""
"2002","Spain","Total","Percentage of active population","Total","11.5",""
"2002","France","Total","Thousand persons","Total","2,171",""
"2002","France","Total","Percentage of total population","Total",":",""
"2002","France","Total","Percentage of active population","Total","7.9",""
"2002","Croatia","Total","Thousand persons","Total","274",""
"2002","Croatia","Total","Percentage of total population","Total",":",""
"2002","Croatia","Total","Percentage of active population","Total","15.3",""
"2002","Italy","Total","Thousand persons","Total","2,058",""
"2002","Italy","Total","Percentage of total population","Total","4.6",""
"2002","Italy","Total","Percentage of active population","Total","8.5",""
"2002","Cyprus","Total","Thousand persons","Total","12",""
"2002","Cyprus","Total","Percentage of total population","Total",":",""
"2002","Cyprus","Total","Percentage of active population","Total","3.5",""
"2002","Latvia","Total","Thousand persons","Total","136",""
"2002","Latvia","Total","Percentage of total population","Total","7.7",""
"2002","Latvia","Total","Percentage of active population","Total","12.5",""
"2002","Lithuania","Total","Thousand persons","Total","224",""
"2002","Lithuania","Total","Percentage of total population","Total","8.6",""
"2002","Lithuania","Total","Percentage of active population","Total","13.8",""
"2002","Luxembourg","Total","Thousand persons","Total","5",""
"2002","Luxembourg","Total","Percentage of total population","Total",":",""
"2002","Luxembourg","Total","Percentage of active population","Total","2.6",""
"2002","Hungary","Total","Thousand persons","Total","229",""
"2002","Hungary","Total","Percentage of total population","Total","3.1",""
"2002","Hungary","Total","Percentage of active population","Total","5.6",""
"2002","Malta","Total","Thousand persons","Total","11",""
"2002","Malta","Total","Percentage of total population","Total","3.6",""
"2002","Malta","Total","Percentage of active population","Total","7.0",""
"2002","Netherlands","Total","Thousand persons","Total","301","i"
"2002","Netherlands","Total","Percentage of total population","Total","1.9","i"
"2002","Netherlands","Total","Percentage of active population","Total","3.7","i"
"2002","Austria","Total","Thousand persons","Total","167",""
"2002","Austria","Total","Percentage of total population","Total","2.5",""
"2002","Austria","Total","Percentage of active population","Total","4.4",""
"2002","Poland","Total","Thousand persons","Total","3,423",""
"2002","Poland","Total","Percentage of total population","Total","11.8",""
"2002","Poland","Total","Percentage of active population","Total","20.0",""
"2002","Portugal","Total","Thousand persons","Total","327",""
"2002","Portugal","Total","Percentage of total population","Total","3.8",""
"2002","Portugal","Total","Percentage of active population","Total","6.2",""
"2002","Romania","Total","Thousand persons","Total","866",""
"2002","Romania","Total","Percentage of total population","Total","5.1",""
"2002","Romania","Total","Percentage of active population","Total","8.3",""
"2002","Slovenia","Total","Thousand persons","Total","61",""
"2002","Slovenia","Total","Percentage of total population","Total","3.9",""
"2002","Slovenia","Total","Percentage of active population","Total","6.3",""
